peer,cid,filename,size,format
QmYGVgGGfD5N4Xcc78CcMJ99dKcH6K6myhd4Uenv5yJwiJ,/ipfs/QmauhUbPerCeRjJAbPCoDAdASuzWJ9sMrx5k7FUPeSQDyU/lib/webrtc.js,webrtc.js,3977,text/plain; charset=utf-8
QmYGVgGGfD5N4Xcc78CcMJ99dKcH6K6myhd4Uenv5yJwiJ,QmauhUbPerCeRjJAbPCoDAdASuzWJ9sMrx5k7FUPeSQDyU/package.json,package.json,52,application/json
QmYGVgGGfD5N4Xcc78CcMJ99dKcH6K6myhd4Uenv5yJwiJ,/ipfs/QmauhUbPerCeRjJAbPCoDAdASuzWJ9sMrx5k7FUPeSQDyU/plugins/alt-fetch.js,alt-fetch.js,5805,text/plain; charset=utf-8
QmYGVgGGfD5N4Xcc78CcMJ99dKcH6K6myhd4Uenv5yJwiJ,/ipfs/QmauhUbPerCeRjJAbPCoDAdASuzWJ9sMrx5k7FUPeSQDyU/plugins/any-of.js,any-of.js,1588,text/plain; charset=utf-8
QmYGVgGGfD5N4Xcc78CcMJ99dKcH6K6myhd4Uenv5yJwiJ,/ipfs/QmauhUbPerCeRjJAbPCoDAdASuzWJ9sMrx5k7FUPeSQDyU/plugins/cache.js,cache.js,5388,text/plain; charset=utf-8
QmYGVgGGfD5N4Xcc78CcMJ99dKcH6K6myhd4Uenv5yJwiJ,/ipfs/QmauhUbPerCeRjJAbPCoDAdASuzWJ9sMrx5k7FUPeSQDyU/plugins/fetch.js,fetch.js,2766,text/plain; charset=utf-8
QmYGVgGGfD5N4Xcc78CcMJ99dKcH6K6myhd4Uenv5yJwiJ,/ipfs/QmauhUbPerCeRjJAbPCoDAdASuzWJ9sMrx5k7FUPeSQDyU/plugins/gun-ipfs.js,gun-ipfs.js,19496,text/plain; charset=utf-8
QmYGVgGGfD5N4Xcc78CcMJ99dKcH6K6myhd4Uenv5yJwiJ,/ipfs/QmauhUbPerCeRjJAbPCoDAdASuzWJ9sMrx5k7FUPeSQDyU/plugins/ipns-ipfs.js,ipns-ipfs.js,13343,text/plain; charset=utf-8
QmYGVgGGfD5N4Xcc78CcMJ99dKcH6K6myhd4Uenv5yJwiJ,/ipfs/QmauhUbPerCeRjJAbPCoDAdASuzWJ9sMrx5k7FUPeSQDyU/samizdat-cli/bin/samizdat.js,samizdat.js,34432,application/javascript
QmYGVgGGfD5N4Xcc78CcMJ99dKcH6K6myhd4Uenv5yJwiJ,/ipfs/QmauhUbPerCeRjJAbPCoDAdASuzWJ9sMrx5k7FUPeSQDyU/samizdat-cli/docker-compose.yml,docker-compose.yml,985,text/plain; charset=utf-8
QmYGVgGGfD5N4Xcc78CcMJ99dKcH6K6myhd4Uenv5yJwiJ,/ipfs/QmauhUbPerCeRjJAbPCoDAdASuzWJ9sMrx5k7FUPeSQDyU/samizdat-cli/package.json,package.json,635,application/json
QmYGVgGGfD5N4Xcc78CcMJ99dKcH6K6myhd4Uenv5yJwiJ,QmauhUbPerCeRjJAbPCoDAdASuzWJ9sMrx5k7FUPeSQDyU/samizdat.js,samizdat.js,27292,text/plain; charset=utf-8
QmYGVgGGfD5N4Xcc78CcMJ99dKcH6K6myhd4Uenv5yJwiJ,QmauhUbPerCeRjJAbPCoDAdASuzWJ9sMrx5k7FUPeSQDyU/service-worker.js,service-worker.js,24245,text/plain; charset=utf-8
12D3KooWBKR3ZGcKZcy2yMcpuNxyw5q7d39zGVqaiRjPHphBgzKP,QmbhXhzx9eY9e5QpbeDXQ2ozk9KgdJ7VALgfXRCbohtsD5,NONE,18,text/plain; charset=utf-8
